RegionID,RegionName,City,State,Metro,CountyName,2019-02,price_log
416421,Forest View Park,Nashville,TN,Nashville-Davidson--Murfreesboro--Franklin,Davidson County,214700,5.331832044436249
762296,Fremont South,Oxnard,CA,Oxnard-Thousand Oaks-Ventura,Ventura County,485000,5.685741738602264
762235,Point Dume,Malibu,CA,Los Angeles-Long Beach-Anaheim,Los Angeles County,4619100,6.664557364493371
762663,Woodtick Road,Waterbury,CT,New Haven-Milford,New Haven County,128800,5.109915863023793
26505,Pine Lake,Sammamish,WA,Seattle-Tacoma-Bellevue,King County,1052300,6.022139570398392
198535,University Heights,Hattiesburg,MS,Hattiesburg,Forrest County,165400,5.218535505216527
113250,Whitehills,East Lansing,MI,Lansing-East Lansing,Ingham County,330100,5.518645524330312
230853,Alamo Heights,Fort Worth,TX,Dallas-Fort Worth-Arlington,Tarrant County,195600,5.291368850451582
763823,Fisk Addition,Green Bay,WI,Green Bay,Brown County,115100,5.061075323629792
273758,Forest Park,Winston-Salem,NC,Winston-Salem,Forsyth County,30400,4.482873583608754
761732,Country Club Estates,Flagstaff,AZ,Flagstaff,Coconino County,413200,5.616160312847583
276262,Clayton-Tamm,Saint Louis,MO,St. Louis,Saint Louis City,148900,5.172894697752176
343524,Emerson East,Madison,WI,Madison,Dane County,236200,5.373279893277496
49436,Morgan Park,Duluth,MN,Duluth,Saint Louis County,97900,4.990782691803138
248282,Wasena,Roanoke,VA,Roanoke,Roanoke City,142200,5.152899596393747
253799,Monticello,Fort Worth,TX,Dallas-Fort Worth-Arlington,Tarrant County,462400,5.665017825412472
274472,McKinley School - Columbus Park,Des Moines,IA,Des Moines-West Des Moines,Polk County,92900,4.968015713993641
276231,Calico Ridge,Henderson,NV,Las Vegas-Henderson-Paradise,Clark County,392300,5.593618308129536
269518,Woodland Heights,Des Moines,IA,Des Moines-West Des Moines,Polk County,148800,5.17260293120986
125152,Lower Grand Lagoon,Panama City,FL,Panama City,Bay County,248600,5.395501124305626
208500,Blue Ridge,Levittown,PA,Philadelphia-Camden-Wilmington,Bucks County,201300,5.303843774888654
761985,Jupiter Village,Jupiter,FL,Miami-Fort Lauderdale-West Palm Beach,Palm Beach County,235500,5.371990911464915
275867,Villa Heights,Charlotte,NC,Charlotte-Concord-Gastonia,Mecklenburg County,335300,5.52543355342882
763696,Apple Hill,Rochester,MN,Rochester,Olmsted County,228900,5.359645792674543
762240,Edinborough,Edina,MN,Minneapolis-St. Paul-Bloomington,Hennepin County,168600,5.226857570288724
269622,Bryan Park,Bloomington,IN,Bloomington,Monroe County,192500,5.28443073384452
276541,Riverside,Tempe,AZ,Phoenix-Mesa-Scottsdale,Maricopa County,200500,5.302114376956201
11617,Gleed,Yakima,WA,Yakima,Yakima County,249500,5.397070549959409
275851,Vasa,Bellevue,WA,Seattle-Tacoma-Bellevue,King County,865200,5.937116510767054
416099,Newlands,Boulder,CO,Boulder,Boulder County,1452400,6.162086240240854
417532,Silverhawke,Gilbert,AZ,Phoenix-Mesa-Scottsdale,Maricopa County,340400,5.5319895514125506
219094,Riverview,Sandy Springs,GA,Atlanta-Sandy Springs-Roswell,Fulton County,655600,5.816638944898462
110334,Red Leaf,Broomfield,CO,Denver-Aurora-Lakewood,Broomfield County,581600,5.764624397850981
243075,Dominion Hills,Arlington,VA,Washington-Arlington-Alexandria,Arlington County,783600,5.894094427322699
764071,Northside-Cherokee,Chattanooga,TN,Chattanooga,Hamilton County,204200,5.310055737750892
268950,Dixie Belle,Orlando,FL,Orlando-Kissimmee-Sanford,Orange County,157500,5.19728055812562
272516,Oak Ridge,Springfield,IL,Springfield,Sangamon County,49200,4.691965102767361
30681,Byfield,Newbury,MA,Boston-Cambridge-Newton,Essex County,530800,5.724930914192398
763916,Hilltop Green,Richmond,CA,San Francisco-Oakland-Hayward,Contra Costa County,510700,5.70816585785554
